EmployeeID,FirstName,LastName,Role,StoreID
108,Barbara,Edwards,Cashier,13
109,Mary,Carpenter,Customer Service,3
110,Stacy,Reeves,Inventory,7
111,Michael,Coleman,Cashier,17
112,Benjamin,Martinez,Manager,14
113,Megan,Smith,Cashier,22
114,Lindsey,Benson,Marketing,3
115,Mike,Khan,Manager,24
116,Samuel,Wood,Marketing,16
117,Nicholas,Morales,Cashier,20
118,Joshua,Berry,Cashier,6
119,Maurice,Pruitt,Manager,19
120,William,Camacho,Marketing,8
121,Garrett,Perry,Inventory,19
122,Kimberly,Hooper,Manager,11
123,Alexander,Dunn,Inventory,7
124,Roger,Cooley,Inventory,14
125,Ryan,Hopkins,Inventory,4
126,Sheila,Murphy,Manager,12
127,Gary,Dawson,Cashier,19
128,Jennifer,Graham,Marketing,22
129,Joshua,Coleman,Inventory,16
130,Jodi,Morris,Manager,15
131,Chelsea,Cook,Customer Service,12
132,Jennifer,Benson,Marketing,24
133,Jeffery,Cortez,Marketing,24
134,Anna,Davis,Manager,12
135,Jorge,Key,Cashier,2
136,Veronica,Brennan,Customer Service,9
137,Sherry,Miller,Customer Service,2
138,Christina,Estrada,Manager,6
139,Gina,Wells,Manager,5
140,Sandra,Ashley,Inventory,24
141,Amanda,Smith,Marketing,8
142,Michael,Vaughn,Marketing,16
143,Michael,Webb,Marketing,20
144,Abigail,Cook,Manager,7
145,Mariah,Lee,Customer Service,21
146,Kristy,Parks,Customer Service,2
147,Ashley,Robinson,Cashier,20
148,Jamie,Grant,Customer Service,17
149,Anthony,Sims,Inventory,15
150,Emily,Davenport,Inventory,2
151,James,Young,Cashier,21
152,Andrew,Mason,Manager,9
153,Rhonda,Stewart,Manager,20
154,Micheal,Williams,Cashier,9
155,Jennifer,Greer,Inventory,22
156,Curtis,Peterson,Inventory,22
157,Richard,Bell,Customer Service,10
158,Cindy,Cox,Manager,18
159,Charles,Richardson,Cashier,8
160,Samantha,Weber,Inventory,18
161,Angela,Ramsey,Marketing,4
162,Chelsea,Parker,Manager,3
163,Christian,Vasquez,Cashier,18
164,Andrea,Evans,Cashier,15
165,Robin,Johnson,Cashier,3
166,Erin,Ramirez,Manager,25
167,Suzanne,Hale,Customer Service,4
168,Hayden,Hardy,Cashier,8
169,Christopher,Harris,Customer Service,13
170,Raymond,Baker,Manager,4
171,James,Delgado,Marketing,10
172,Gina,Moyer,Cashier,5
173,Joseph,Pace,Manager,4
174,Michael,Parker,Cashier,18
175,Gregory,Estes,Marketing,6
176,Betty,Small,Customer Service,8
177,Leroy,Hall,Cashier,2
178,Jennifer,Robinson,Marketing,24
179,Kylie,Cook,Cashier,22
180,Thomas,Goodwin,Manager,25
181,Kyle,Ross,Inventory,17
182,Mark,Mckinney,Manager,24
183,Brandon,Cantu,Inventory,8
184,Kelsey,Blankenship,Inventory,1
185,Jessica,Perez,Cashier,18
186,Timothy,Hayes,Marketing,22
187,Benjamin,Brown,Manager,21
188,Chloe,Davis,Inventory,8
189,Ricky,Riley,Inventory,20
190,Meagan,Cunningham,Manager,15
191,Jennifer,Proctor,Marketing,19
192,Joshua,Lopez,Customer Service,21
193,Kristine,Jones,Inventory,14
194,Michael,Baker,Inventory,6
195,Jason,Gonzales,Manager,2
196,David,Ellis,Manager,12
197,Brian,Fuentes,Cashier,3
198,Cheryl,Brown,Customer Service,23
199,Christine,Nguyen,Manager,25
200,Sarah,Burton,Manager,16
201,Kristen,Ramsey,Manager,15
202,Ronald,Morgan,Manager,14
203,Kimberly,Watkins,Cashier,9
204,Kimberly,Woods,Marketing,12
205,Chad,Little,Manager,21
206,Rachel,Johnson,Marketing,20
207,Kelly,Brown,Customer Service,4
208,Margaret,Valentine,Cashier,7
209,Julie,Chen,Inventory,1
210,Angela,Weiss,Marketing,12
211,Daniel,Malone,Manager,25
212,Benjamin,Jones,Manager,25
213,Stacey,Herring,Marketing,25
214,Nathan,Harris,Manager,20
215,Kathryn,Reese,Customer Service,21
216,Rebecca,Flores,Customer Service,12
217,Sylvia,West,Customer Service,12
218,Raymond,Carlson,Inventory,20
219,Amy,Gay,Inventory,5
220,Stephen,Cochran,Marketing,13
221,Molly,Moore,Customer Service,11
222,Felicia,Gray,Inventory,4
223,Stacey,Watkins,Marketing,6
224,John,Vasquez,Inventory,14
225,Natalie,Davis,Inventory,3
226,Connie,Johnston,Cashier,15
227,William,Bailey,Inventory,24
228,Stephanie,Harris,Manager,23
229,Makayla,Johnson,Marketing,17
230,Christine,Davis,Inventory,25
231,Jacob,Brown,Cashier,14
232,Susan,Cross,Cashier,19
233,Cynthia,Gaines,Customer Service,13
234,Rachel,Kelly,Manager,5
235,John,Sawyer,Inventory,25
236,Jeffrey,Martinez,Inventory,25
237,Jenny,Hamilton,Inventory,18
238,Melissa,Smith,Cashier,1
239,Donna,Gonzalez,Customer Service,12
240,Anthony,Haynes,Inventory,7
241,Ashley,Montgomery,Inventory,4
242,Patrick,Yates,Cashier,18
243,Richard,Stewart,Marketing,16
244,Larry,Baker,Customer Service,2
245,Leonard,Durham,Cashier,24
246,Brooke,Scott,Cashier,7
247,Stephanie,Meyer,Customer Service,22
248,Peter,Yu,Inventory,3
249,Brett,Hall,Customer Service,10
250,Wendy,Torres,Inventory,13
